1,ANIMAL FRIENDSHIP,,"HS, FOOD",ANIMAL,10YDS,VSM,1HR,SPECIAL,1 ANIMAL,NEGATES
1,BLESS / CURSE,Y,HW / UHW,ALL,60YDS,VSM,1RD,6RDS,50' CUBE,NONE
1,COMBINE,,,ALL,TOUCH,VS,1RD,SPECIAL,CIRCLE OF PRIESTS,NONE
1,COMMAND,,,CHARM,30YDS,V,1    ,1RD,1 CREATURE,NONE
1,CREATE WATER / DESTROY WATER,Y,DROP OF WATER / DUST,ELEMENTAL WATER,30YDS,VSM,1RD,INSTANTANEOUS,UP TO 27CUFT,NONE
1,CURE LIGHT WOUNDS / CAUSE LIGHT WOUNDS,Y,,HEALING,TOUCH,VS,5    ,INSTANTANEOUS,CREATURE TOUCHED,NONE
1,DETECT EVIL / DETECT GOOD,Y,HS,DIVINATION,0,VSM,1RD,1 TURN + 1 TURN / LEVEL,10FT PATH X 120YDS,NONE
1,DETECT MAGIC,,HS,ALL,30YDS,VSM,1RD,1 TURN,10' X 30YDS,NONE
1,DETECT POISON,,A STRIP OF BLESSED VELLUM,DIVINATION,0,VSM,4    ,1 TURN + 1RD / LEVEL,SPECIAL,NONE
1,DETECT SNARES & PITS,,HS,DIVINATION,0,VSM,4    ,1 TURN + 1RD / LEVEL,SPECIAL,NONE
1,ENDURE HEAT/ENDURE COLD,,,PROTECTION,TOUCH,VS,1RD,11HRS / LEVEL,CREATURE TOUCHED,NONE
1,ENTANGLE,,HS,PLANT,80YDS,VSM,4    ,1 TURN,40FT CUBE,1    
1,FAERIE FIRE,,SMALL PC OF FOXFIRE,WEATHER,80YDS,VSM,4    ,4RDS / LEVEL,10SQFT / LEVEL IN A 40FT RADIUS,NONE
1,INVISIBILITY TO ANIMALS ,,HOLLY,ANIMAL,TOUCH,SM,4    ,1 TURN + 1RD / LEVEL,1 CREATURE TOUCHED / LEVEL,NONE
1,INVISIBILITY TO UNDEAD,,HS,NECROMANTIC,TOUCH,VSM,4    ,6RDS,CREATURE TOUCHED,SPECIAL
1,LIGHT / DARKNESS,Y,,SUN,120YDS,VS,4    ,1HR + 1 TURN / LEVEL,20FT RADIUS,SPECIAL
1,LOCATE ANIMALS OR PLANTS,,HS,ANIMAL,100YDS +20YDS/LEVEL,VSM,1RD,1RD / LEVEL,20FT WIDE PATH 20YDS / LEVEL LONG,NONE
1,MAGICAL STONE,,"HS, 3 PEBBLES",COMBAT,TOUCH,VSM,4    ,SPECIAL,3 PEBBLES,NONE
1,PASS WITHOUT  TRACE,,SPRIG OF EVERGREEN BURNED & SCATTERED,PLANT,TOUCH,VSM,1RD,1 TURN / LEVEL,CREATURE TOUCHED,NONE
1,PROTECTION FROM EVIL / GOOD,Y,HS & INCENSE,PROTECTION,TOUCH,VSM,4    ,3RDS / LEVEL,CREATURE TOUCHED,NONE
1,PURIFY FOOD & DRINK,,,ALL,30YDS,VS,1RD,INSTANTANEOUS,1CUFT/LEVEL IN 10SQFT,NONE
1,REMOVE FEAR / CAUSE FEAR,Y,,CHARM,10YDS,VS,1    ,SPECIAL,1 CREATURE / 4 LEVELS,SPECIAL
1,SANCTUARY,,HS & A SM SILVER MIRROR,PROTECTION,TOUCH,VSM,4    ,2RDS + 1RD/LEVEL,CREATURE TOUCHED,NONE
1,SHILLELAGH,,HS & A SHAMROCK LEAF,PLANT,TOUCH,VSM,2    ,4RDS + 1RD / LEVEL,1 NORMAL OAKEN CLUB,NONE
